sex;age;race;marital-status;education;native-country;workclass;occupation;salary-class
*;*;White;Never-married;*;*;*;Adm-clerical;*
*;*;White;Married-civ-spouse;*;*;*;Exec-managerial;*
*;*;White;Divorced;*;*;*;Handlers-cleaners;*
*;*;Black;Married-civ-spouse;*;*;*;Handlers-cleaners;*
*;*;Black;Married-civ-spouse;*;*;*;Prof-specialty;*
*;*;White;Married-civ-spouse;*;*;*;Exec-managerial;*
*;*;*;*;*;*;*;Other-service;*
*;*;White;Married-civ-spouse;*;*;*;Exec-managerial;*
*;*;White;Never-married;*;*;*;Prof-specialty;*
*;*;White;Married-civ-spouse;*;*;*;Exec-managerial;*
*;*;Black;Married-civ-spouse;*;*;*;Exec-managerial;*
*;*;Asian-Pac-Islander;Married-civ-spouse;*;*;*;Prof-specialty;*
*;*;White;Never-married;*;*;*;Adm-clerical;*
*;*;Black;Never-married;*;*;*;Sales;*
*;*;Amer-Indian-Eskimo;Married-civ-spouse;*;*;*;Transport-moving;*
*;*;White;Never-married;*;*;*;Farming-fishing;*
*;*;White;Never-married;*;*;*;Machine-op-inspct;*
*;*;White;Married-civ-spouse;*;*;*;Sales;*
*;*;White;Divorced;*;*;*;Exec-managerial;*
*;*;White;Married-civ-spouse;*;*;*;Prof-specialty;*
*;*;*;*;*;*;*;Other-service;*
*;*;Black;Married-civ-spouse;*;*;*;Farming-fishing;*
*;*;White;Married-civ-spouse;*;*;*;Transport-moving;*
*;*;White;Divorced;*;*;*;Tech-support;*
*;*;White;Married-civ-spouse;*;*;*;Tech-support;*
*;*;White;Never-married;*;*;*;Craft-repair;*
*;*;White;Divorced;*;*;*;Exec-managerial;*
*;*;White;Married-civ-spouse;*;*;*;Craft-repair;*
*;*;White;Never-married;*;*;*;Protective-serv;*
*;*;Black;Never-married;*;*;*;Sales;*
*;*;White;Divorced;*;*;*;Exec-managerial;*
*;*;White;Married-civ-spouse;*;*;*;Adm-clerical;*
*;*;Black;Married-civ-spouse;*;*;*;Other-service;*
*;*;White;Never-married;*;*;*;Machine-op-inspct;*
*;*;White;Never-married;*;*;*;Machine-op-inspct;*
*;*;*;*;*;*;*;Adm-clerical;*
*;*;White;Married-civ-spouse;*;*;*;Prof-specialty;*
*;*;White;Married-civ-spouse;*;*;*;Machine-op-inspct;*
*;*;White;Married-civ-spouse;*;*;*;Prof-specialty;*
*;*;White;Married-civ-spouse;*;*;*;Tech-support;*
*;*;White;Separated;*;*;*;Adm-clerical;*
*;*;White;Never-married;*;*;*;Handlers-cleaners;*
*;*;Black;Married-civ-spouse;*;*;*;Prof-specialty;*
*;*;White;Married-civ-spouse;*;*;*;Machine-op-inspct;*
*;*;White;Divorced;*;*;*;Exec-managerial;*
*;*;White;Married-civ-spouse;*;*;*;Craft-repair;*
*;*;White;Never-married;*;*;*;Prof-specialty;*
*;*;*;*;*;*;*;Exec-managerial;*
*;*;White;Married-civ-spouse;*;*;*;Prof-specialty;*
*;*;White;Divorced;*;*;*;Exec-managerial;*
*;*;White;Divorced;*;*;*;Exec-managerial;*
*;*;White;Married-civ-spouse;*;*;*;Tech-support;*
*;*;White;Married-civ-spouse;*;*;*;Machine-op-inspct;*
*;*;White;Married-civ-spouse;*;*;*;Other-service;*
*;*;White;Married-civ-spouse;*;*;*;Adm-clerical;*
*;*;White;Married-civ-spouse;*;*;*;Machine-op-inspct;*
*;*;White;Married-civ-spouse;*;*;*;Sales;*
*;*;White;Married-civ-spouse;*;*;*;Transport-moving;*
*;*;White;Married-civ-spouse;*;*;*;Prof-specialty;*
*;*;White;Divorced;*;*;*;Tech-support;*
*;*;White;Married-civ-spouse;*;*;*;Craft-repair;*
*;*;White;Divorced;*;*;*;Adm-clerical;*
*;*;White;Married-civ-spouse;*;*;*;Adm-clerical;*
*;*;White;Married-civ-spouse;*;*;*;Exec-managerial;*
*;*;White;Never-married;*;*;*;Prof-specialty;*
*;*;*;*;*;*;*;Sales;*
*;*;White;Married-civ-spouse;*;*;*;Sales;*
*;*;White;Never-married;*;*;*;Machine-op-inspct;*
*;*;White;Married-civ-spouse;*;*;*;Prof-specialty;*
*;*;White;Never-married;*;*;*;Other-service;*
*;*;White;Married-civ-spouse;*;*;*;Adm-clerical;*
*;*;White;Never-married;*;*;*;Other-service;*
*;*;White;Married-civ-spouse;*;*;*;Farming-fishing;*
*;*;White;Never-married;*;*;*;Sales;*
*;*;White;Married-civ-spouse;*;*;*;Other-service;*
*;*;White;Married-civ-spouse;*;*;*;Other-service;*
*;*;White;Married-civ-spouse;*;*;*;Sales;*
*;*;White;Divorced;*;*;*;Craft-repair;*
*;*;White;Divorced;*;*;*;Sales;*
*;*;White;Married-civ-spouse;*;*;*;Protective-serv;*
*;*;White;Married-civ-spouse;*;*;*;Prof-specialty;*
*;*;White;Never-married;*;*;*;Sales;*
*;*;White;Never-married;*;*;*;Prof-specialty;*
*;*;White;Married-civ-spouse;*;*;*;Prof-specialty;*
*;*;White;Divorced;*;*;*;Craft-repair;*
*;*;*;*;*;*;*;Machine-op-inspct;*
*;*;White;Married-civ-spouse;*;*;*;Protective-serv;*
*;*;White;Never-married;*;*;*;Handlers-cleaners;*
*;*;White;Married-civ-spouse;*;*;*;Prof-specialty;*
*;*;White;Married-civ-spouse;*;*;*;Sales;*
*;*;White;Divorced;*;*;*;Exec-managerial;*
*;*;Black;Never-married;*;*;*;Other-service;*
*;*;White;Married-civ-spouse;*;*;*;Exec-managerial;*
*;*;White;Married-civ-spouse;*;*;*;Exec-managerial;*
*;*;White;Never-married;*;*;*;Prof-specialty;*
*;*;White;Never-married;*;*;*;Tech-support;*
*;*;White;Never-married;*;*;*;Craft-repair;*
*;*;White;Married-civ-spouse;*;*;*;Craft-repair;*
*;*;White;Never-married;*;*;*;Handlers-cleaners;*
*;*;White;Never-married;*;*;*;Adm-clerical;*
*;*;White;Married-civ-spouse;*;*;*;Handlers-cleaners;*
*;*;White;Never-married;*;*;*;Sales;*
*;*;White;Married-civ-spouse;*;*;*;Prof-specialty;*
*;*;White;Married-civ-spouse;*;*;*;Other-service;*
*;*;White;Married-civ-spouse;*;*;*;Sales;*
*;*;White;Never-married;*;*;*;Machine-op-inspct;*
*;*;White;Married-civ-spouse;*;*;*;Handlers-cleaners;*
*;*;White;Married-civ-spouse;*;*;*;Sales;*
*;*;Black;Married-civ-spouse;*;*;*;Craft-repair;*
*;*;White;Married-civ-spouse;*;*;*;Sales;*
*;*;White;Never-married;*;*;*;Craft-repair;*
*;*;White;Never-married;*;*;*;Other-service;*
*;*;White;Married-civ-spouse;*;*;*;Exec-managerial;*
*;*;Black;Never-married;*;*;*;Exec-managerial;*
*;*;White;Married-civ-spouse;*;*;*;Prof-specialty;*
*;*;Black;Never-married;*;*;*;Other-service;*
*;*;White;Married-civ-spouse;*;*;*;Exec-managerial;*
*;*;White;Never-married;*;*;*;Adm-clerical;*
*;*;White;Married-civ-spouse;*;*;*;Adm-clerical;*
*;*;White;Divorced;*;*;*;Craft-repair;*
*;*;White;Never-married;*;*;*;Sales;*
*;*;White;Never-married;*;*;*;Other-service;*
*;*;White;Married-civ-spouse;*;*;*;Craft-repair;*
*;*;White;Married-civ-spouse;*;*;*;Sales;*
*;*;*;*;*;*;*;Tech-support;*
*;*;White;Married-civ-spouse;*;*;*;Prof-specialty;*
*;*;White;Married-civ-spouse;*;*;*;Craft-repair;*
*;*;White;Married-civ-spouse;*;*;*;Adm-clerical;*
*;*;White;Never-married;*;*;*;Sales;*
*;*;Asian-Pac-Islander;Married-civ-spouse;*;*;*;Craft-repair;*
*;*;White;Married-civ-spouse;*;*;*;Craft-repair;*
*;*;White;Never-married;*;*;*;Sales;*
*;*;White;Never-married;*;*;*;Other-service;*
*;*;White;Never-married;*;*;*;Prof-specialty;*
*;*;White;Never-married;*;*;*;Tech-support;*
*;*;Black;Never-married;*;*;*;Transport-moving;*
*;*;White;Married-civ-spouse;*;*;*;Other-service;*
*;*;White;Widowed;*;*;*;Other-service;*
*;*;White;Married-civ-spouse;*;*;*;Craft-repair;*
*;*;White;Divorced;*;*;*;Adm-clerical;*
*;*;White;Never-married;*;*;*;Adm-clerical;*
*;*;Asian-Pac-Islander;Never-married;*;*;*;Exec-managerial;*
*;*;White;Never-married;*;*;*;Craft-repair;*
*;*;White;Married-civ-spouse;*;*;*;Craft-repair;*
