sex;age;race;marital-status;education;native-country;workclass;occupation;salary-class
Male;*;White;Never-married;Higher education;North America;Government;Adm-clerical;<=50K
Male;*;White;Married-civ-spouse;Higher education;North America;Non-Government;Exec-managerial;<=50K
Male;*;White;Divorced;Secondary education;North America;Non-Government;Handlers-cleaners;<=50K
Male;*;Black;Married-civ-spouse;Secondary education;North America;Non-Government;Handlers-cleaners;<=50K
Female;*;Black;Married-civ-spouse;Higher education;North America;Non-Government;Prof-specialty;<=50K
Female;*;White;Married-civ-spouse;Higher education;North America;Non-Government;Exec-managerial;<=50K
Female;*;Black;Married-spouse-absent;Secondary education;North America;Non-Government;Other-service;<=50K
Male;*;White;Married-civ-spouse;Secondary education;North America;Non-Government;Exec-managerial;>50K
Female;*;White;Never-married;Higher education;North America;Non-Government;Prof-specialty;>50K
Male;*;White;Married-civ-spouse;Higher education;North America;Non-Government;Exec-managerial;>50K
Male;*;Black;Married-civ-spouse;Higher education;North America;Non-Government;Exec-managerial;>50K
Male;*;Asian-Pac-Islander;Married-civ-spouse;Higher education;Asia;Government;Prof-specialty;>50K
Female;*;White;Never-married;Higher education;North America;Non-Government;Adm-clerical;<=50K
Male;*;Black;Never-married;Higher education;North America;Non-Government;Sales;<=50K
Male;*;Amer-Indian-Eskimo;Married-civ-spouse;Secondary education;North America;Non-Government;Transport-moving;<=50K
Male;*;White;Never-married;Secondary education;North America;Non-Government;Farming-fishing;<=50K
Male;*;White;Never-married;Secondary education;North America;Non-Government;Machine-op-inspct;<=50K
Male;*;White;Married-civ-spouse;Secondary education;North America;Non-Government;Sales;<=50K
Female;*;White;Divorced;Higher education;North America;Non-Government;Exec-managerial;>50K
Male;*;White;Married-civ-spouse;Higher education;North America;Non-Government;Prof-specialty;>50K
Female;*;Black;Separated;Secondary education;North America;Non-Government;Other-service;<=50K
Male;*;Black;Married-civ-spouse;Secondary education;North America;Government;Farming-fishing;<=50K
Male;*;White;Married-civ-spouse;Secondary education;North America;Non-Government;Transport-moving;<=50K
Female;*;White;Divorced;Secondary education;North America;Non-Government;Tech-support;<=50K
Male;*;White;Married-civ-spouse;Higher education;North America;Government;Tech-support;>50K
Male;*;White;Never-married;Secondary education;North America;Non-Government;Craft-repair;<=50K
Male;*;White;Divorced;Secondary education;North America;Non-Government;Exec-managerial;<=50K
Male;*;White;Married-civ-spouse;Secondary education;North America;Non-Government;Craft-repair;<=50K
Male;*;White;Never-married;Higher education;North America;Government;Protective-serv;<=50K
Male;*;Black;Never-married;Higher education;North America;Non-Government;Sales;<=50K
Male;*;White;Divorced;Higher education;North America;Non-Government;Exec-managerial;<=50K
Male;*;White;Married-civ-spouse;Higher education;North America;Government;Adm-clerical;<=50K
Male;*;Black;Married-civ-spouse;Higher education;North America;Government;Other-service;<=50K
Male;*;White;Never-married;Secondary education;North America;Non-Government;Machine-op-inspct;<=50K
Male;*;White;Never-married;Higher education;North America;Non-Government;Machine-op-inspct;<=50K
*;*;*;*;*;*;*;Adm-clerical;*
Male;*;White;Married-civ-spouse;Higher education;North America;Non-Government;Prof-specialty;<=50K
Male;*;White;Married-civ-spouse;Secondary education;North America;Non-Government;Machine-op-inspct;<=50K
Male;*;White;Married-civ-spouse;Higher education;North America;Non-Government;Prof-specialty;<=50K
Male;*;White;Married-civ-spouse;Higher education;North America;Non-Government;Tech-support;<=50K
Female;*;White;Separated;Secondary education;North America;Non-Government;Adm-clerical;<=50K
Male;*;White;Never-married;Secondary education;North America;Non-Government;Handlers-cleaners;<=50K
Male;*;Black;Married-civ-spouse;Higher education;North America;Government;Prof-specialty;>50K
Male;*;White;Married-civ-spouse;Secondary education;North America;Non-Government;Machine-op-inspct;<=50K
Female;*;White;Divorced;Higher education;North America;Non-Government;Exec-managerial;<=50K
Male;*;White;Married-civ-spouse;Higher education;North America;Government;Craft-repair;<=50K
Male;*;White;Never-married;Higher education;North America;Non-Government;Prof-specialty;<=50K
*;*;*;*;*;*;*;Exec-managerial;*
Female;*;White;Married-civ-spouse;Higher education;North America;Non-Government;Prof-specialty;>50K
Male;*;White;Divorced;Higher education;North America;Government;Exec-managerial;>50K
Male;*;White;Divorced;Secondary education;North America;Non-Government;Exec-managerial;<=50K
Male;*;White;Married-civ-spouse;Higher education;North America;Non-Government;Tech-support;>50K
Male;*;White;Married-civ-spouse;Primary education;North America;Non-Government;Machine-op-inspct;<=50K
Male;*;White;Married-civ-spouse;Higher education;North America;Non-Government;Other-service;<=50K
Male;*;White;Married-civ-spouse;Secondary education;North America;Non-Government;Adm-clerical;<=50K
Male;*;White;Married-civ-spouse;Secondary education;North America;Non-Government;Machine-op-inspct;<=50K
Male;*;White;Married-civ-spouse;Higher education;North America;Non-Government;Sales;<=50K
Male;*;White;Married-civ-spouse;Secondary education;North America;Non-Government;Transport-moving;<=50K
Male;*;White;Married-civ-spouse;Higher education;North America;Non-Government;Prof-specialty;>50K
